match_id,period,technique,outcome
1,1,elbow_slide_by,scored_clean
1,1,elbow_slide_by,scored_clean
1,2,sprawl_spin,scored_clean
1,2,elbow_slide_by,scored_clean
1,3,snap_ankle_pick,no_score
2,1,elbow_slide_by,scored_clean
2,1,sprawl_armdrag,scored_clean
2,1,sprawl_ankle,scored_clean
2,2,snap_spin,scored_clean
2,2,blast_double,scored_clean
3,1,elbow_slide_by,scored_clean
3,1,elbow_slide_by,scored_clean
3,1,low_single,stuffed
3,2,sprawl_spin,no_score
3,2,sprawl_armdrag,no_score
3,2,elbow_slide_by,no_score
4,1,ankle_pick,stuffed
4,1,reattack_single,stuffed
4,1,knee_pull_single,scored_clean
4,2,reattack_single,no_score
4,2,overtie_slide_by,no_score
4,2,ankle_pick,no_score
4,2,sprawl_armdrag,no_score
4,3,sprawl_armdrag,scored_scramble
5,1,elbow_slide_by,no_score
5,1,low_single,no_score
5,1,sprawl_kneetap,no_score
5,1,armdrag,no_score
5,1,sprawl_armdrag,scored_scramble
5,2,elbow_slide_by,no_score
5,2,elbow_slide_by,no_score
5,2,elbow_slide_by,no_score
5,2,low_single,stuffed
6,1,elbow_slide_by,no_score
6,2,right_head_inside_single,scored_scramble
6,3,reattack_single,no_score
6,3,elbow_slide_by,no_score
7,1,right_head_inside_single,scored_clean
7,2,sweep_single,scored_clean
7,2,misdirection_single,scored_clean
7,2,hip_toss,scored_clean
8,1,underhook_snap_spin,scored_clean
8,1,underhook_throw_by_single,no_score
8,1,ankle_pick,scored_scramble
8,1,cow_catcher,scored_scramble
8,1,elbow_slide_by,scored_clean
8,2,misdirection_single,scored_clean
8,2,cow_catcher,scored_clean
9,2,right_head_inside_single,no_score
9,2,misdirection_single,scored_clean
9,2,overtie_slide_by,no_score
9,3,elbow_slide_by,no_score
9,3,knee_pull_single,scored_clean
10,1,right_head_inside_single,scored_clean
10,1,reattack_single,scored_clean
10,2,knee_pull_single,no_score
10,2,ankle_pick,scored_clean
10,3,blast_double,scored_clean
10,3,hip_toss,scored_clean
11,1,elbow_slide_by,scored_clean
11,2,armdrag,no_score
11,2,elbow_slide_by,no_score
11,2,misdirection_single,no_score
12,1,high_crotch,no_score
12,1,sucker_drag,scored_clean
12,1,reattack_single,scored_clean
12,1,cow_catcher,no_score
12,2,underhook_knee_pick,no_score
12,3,sweep_single,scored_clean
13,1,underhook_knee_pick,no_score
13,2,right_head_inside_single,scored_scramble
13,3,elbow_slide_by,no_score
14,1,reattack_single,scored_scramble
14,2,sucker_drag,scored_clean
14,3,elbow_slide_by,scored_clean
14,3,misdirection_single,scored_clean
15,1,elbow_slide_by,no_score
15,1,low_single,no_score
15,2,elbow_slide_by,scored_clean
15,2,right_head_inside_single,no_score
15,2,blast_double,no_score
16,1,elbow_slide_by,scored_clean
16,1,elbow_slide_by,scored_clean
16,3,misdirection_single,no_score
16,3,elbow_slide_by,scored_clean
17,1,elbow_pass_single,scored_clean
17,1,reattack_single,scored_clean
17,1,elbow_slide_by,scored_clean
17,2,double_leg,scored_clean
17,2,right_head_inside_single,scored_clean
17,2,duck_under,scored_clean
17,2,far_leg_dump,scored_clean
17,3,misdirection_single,scored_clean
18,1,sprawl_spin,no_score
19,1,elbow_slide_by,scored_clean
19,1,elbow_slide_by,scored_clean
19,1,misdirection_single,scored_clean
19,1,elbow_slide_by,scored_clean
19,1,knee_pull_single,scored_scramble
19,2,underhook_footsweep,no_score
19,2,elbow_slide_by,no_score
19,2,sucker_drag,no_score
19,2,right_head_inside_single,no_score
19,2,chest_wrap,no_score
20,1,sprawl_spin,no_score
20,1,elbow_slide_by,scored_clean
20,1,crotch_lift,scored_clean
20,1,elbow_slide_by,scored_clean
20,2,reattack_single,scored_clean
20,2,lat_drop,no_score
20,2,duck_under,scored_scramble
21,1,blast_double,no_score
