match_id,date,tournament,weight_class,weight_cut_lbs,opponent_team,opponent_skill_imo,opponent_style,result,result_type
1,1/17/26,Essex_Classic,132,3_lbs,plymouth,6.5/10,fakes,win,decision
2,1/29/26,sr_night_dual,132,4_lbs,lyndon,6/10,traditional,win,pin
3,1/29/26,sr_night_dual,132,4_lbs,colchester,7.5/10,strong_fakes,win,decision
4,1/31/26,mounti_inv,132,3_lbs,mt_abe,6/10,lenghty_awkward,win,decision
5,1/31/26,mounti_inv,132,3_lbs,colchester,7.5/10,strong_fakes,loss,pin
6,1/31/26,mounti_inv,132,3_lbs,otter_valley,7.5/10,lucky_scrambles,loss,pin
7,02/07/26,jason_lowell_inv,132,5_lbs,unknown,4.5/10,lengthy,win,pin
8,02/07/26,jason_lowell_inv,132,5_lbs,normadic_yetis,4.5/10,traditional,win,tech_fall
9,2/14/26,dual_states,132,3_lbs,vergennes,8/10,traditional,loss,pin
10,2/14/26,dual_states,132,3_lbs,mt_abe,6/10,lenghty_awkward,win,pin
11,3/21/26,bgs_brawls_1,132,7_lbs,new_hampshire,7.5/10,traditional_strong,loss,decision
12,3/21/26,bgs_brawls_1,132,7_lbs,mass,8/10,lenghty_awkward,win,decision
13,3/27/26,virginia_beach,129,11_lbs,virginia,8.5/10,fast_fakes,loss,decision
14,3/28/26,virginia_beach,129,11_lbs,tenesee,8/10,traditional,win,major_decision
15,3/28/26,virginia_beach,129,11_lbs,new_york,9/10,strong_fast,loss,decision
16,4/3/26,bgs_brawls_2,132,5_lbs,smittys_barn,7.5/10,funky_awkward,win,decision
17,4/3/26,bgs_brawls_2,132,5_lbs,new_hampshire,4/10,traditional,win,tech_fall
18,4/9/10,northeast_regionals,132,3_lbs,pennysilvania,10/10,strong_fakes,loss,pin
19,4/9/10,northeast_regionals,132,3_lbs,new_jersey,8/10,funky,loss,decision
20,7/10,fargo_nationals,126,14_lbs,louisianna,8/10,traditional_fast,win,major_decision
21,7/10/26,fargo_nationals,126,14_lbs,minnisota,9/10,strong_unique,loss,tech_fall
